ip,port
65.78.131.240,61622
119.18.4.166,51413
50.38.32.181,51413
74.140.152.180,51413
5.79.77.65,50670
51.15.65.48,50039
217.155.33.45,24912
158.69.55.241,51413
155.4.223.247,51413
62.197.214.231,8001
187.121.197.174,60718
128.127.104.80,36042
188.115.184.166,51413
76.193.65.247,51413
185.212.170.188,21759
87.122.217.203,55455
185.21.216.157,57269
62.226.106.229,16881
65.78.131.240,61622
87.5.186.244,51413
192.145.44.138,51413
62.171.189.55,51413
88.71.223.183,6881
216.8.220.80,51413
46.255.174.42,16881
46.4.114.109,51413
86.105.25.75,32359
82.124.194.167,51413
89.208.176.190,51413
83.80.196.186,50396
91.189.95.21,6888
91.189.95.21,6889
136.243.138.103,46298
51.174.215.38,6971
37.187.19.237,51413
74.96.104.102,1720
5.186.56.172,51413
91.189.95.21,6931
84.255.243.215,33333
78.55.174.222,51413
81.6.42.23,51414
188.226.100.156,51413
45.9.60.184,49494
212.85.191.252,17123
37.187.4.26,51413
92.190.54.11,51413
74.220.255.190,51413
192.131.44.138,62913
90.92.115.243,51413
37.235.147.210,7777